context,question,answer
帮助游客需要包括游客遵循景点的规则并且在满足游客对某个景点感兴趣的前提下游客得到某处景物的介绍。,这是什么的功能描述？,帮助游客
帮助游客需要包括游客遵循景点的规则并且在满足游客对某个景点感兴趣的前提下游客得到某处景物的介绍。,完成”帮助游客“的第一个前提是什么？,游客遵循景点的规则
帮助游客需要包括游客遵循景点的规则并且在满足游客对某个景点感兴趣的前提下游客得到某处景物的介绍。,完成”帮助游客“的第二个前提是什么？,游客得到某处景物的介绍
帮助游客需要包括游客遵循景点的规则并且在满足游客对某个景点感兴趣的前提下游客得到某处景物的介绍。,完成”帮助游客“的第三个前提是什么？,
游客遵守景点规则包括游客在规定时间内进入景点并且判断是否在满足游客未登记的前提下通知游客登记。,这是什么的功能描述？,游客遵守景点规则
游客遵守景点规则包括游客在规定时间内进入景点并且判断是否在满足游客未登记的前提下通知游客登记。,完成”游客在规定时间内进入景点“的第一个前提是什么？,游客在规定时间内进入景点
游客遵守景点规则包括游客在规定时间内进入景点并且判断是否在满足游客未登记的前提下通知游客登记。,完成”游客在规定时间内进入景点“的第二个前提是什么？,通知游客登记
游客遵守景点规则包括游客在规定时间内进入景点并且判断是否在满足游客未登记的前提下通知游客登记。,完成”游客在规定时间内进入景点“的第三个前提是什么？,
游客在规定时间内进入景点需要判断在满足C2的前提下是否在景点关闭前通知游客。,这是什么的功能描述？,游客在规定时间内进入景点
游客在规定时间内进入景点需要判断在满足C2的前提下是否在景点关闭前通知游客。,完成”游客在规定时间内进入景点“的第一个前提是什么？,在景点关闭前通知游客
游客在规定时间内进入景点需要判断在满足C2的前提下是否在景点关闭前通知游客。,完成”游客在规定时间内进入景点“的第二个前提是什么？,
在景点关闭前通知游客包括判断在满足游客为进入景点的前提下是否通知游客不许进入景点并且判断在满足游客已进入景点的前提下是否通知游客该离开了。,这是什么的功能描述？,在景点关闭前通知游客
在景点关闭前通知游客包括判断在满足游客为进入景点的前提下是否通知游客不许进入景点并且判断在满足游客已进入景点的前提下是否通知游客该离开了。,完成”在景点关闭前通知游客“的第一个前提是什么？,通知游客不许进入景点
在景点关闭前通知游客包括判断在满足游客为进入景点的前提下是否通知游客不许进入景点并且判断在满足游客已进入景点的前提下是否通知游客该离开了。,完成”在景点关闭前通知游客“的第二个前提是什么？,通知游客该离开了
在景点关闭前通知游客包括判断在满足游客为进入景点的前提下是否通知游客不许进入景点并且判断在满足游客已进入景点的前提下是否通知游客该离开了。,完成”在景点关闭前通知游客“的第三个前提是什么？,
游客得到某处景物的介绍需要满足在C4条件下游客通过电子向导获得景物介绍或者在满足C5条件下游客通过手机应用获得景物介绍或者在满足C6前提下游客通过导游获得景物介绍3种情况中的至少一种。,这是什么的功能描述？,游客得到某处景物的介绍
